brand,version_count,year_first,year_last,sat_delta_total,less_colorful,hue_families_first,hue_families_last,hue_families_delta,fewer_hues,edge_density_first,edge_density_last,edge_delta_total,struct_z_delta,color_z_delta,complexity_change_score,complexity_label,simplified,biggest_change_year,biggest_change_score,became_squarer,lost_gradient,lost_shadow,font_type_first,font_type_last,serif_to_sans,industry
Applebees,8,1980,2017,-1.057,1,2,1,-1,1,0.0504,0.0294,-0.021,-1.0469,-1.7697,-1.4083,simplified,1,1983,0.2412,0,,,unknown,unknown,0,restaurants
Burger King,4,1969,2021,-0.116,1,2,1,-1,1,0.0313,0.0264,-0.0049,-0.2443,-0.8255,-0.5349,simplified,1,1999,0.2716,1,,,unknown,unknown,0,restaurants
Chick-fil-A,5,1964,2012,-0.037,1,1,1,0,0,0.0383,0.0309,-0.0074,-0.3689,-0.0371,-0.203,simplified,1,2012,0.2452,0,,,unknown,unknown,0,restaurants
Chipotle,3,1993,2009,1.041,0,0,1,1,0,0.0371,0.0319,-0.0052,-0.2592,1.7537,0.7472,more_complex,0,2008,0.4484,0,,,unknown,unknown,0,restaurants
Domino's,4,1969,2012,-0.264,1,2,2,0,0,0.0369,0.0201,-0.0168,-0.8375,-0.2649,-0.5512,simplified,1,1975,0.2866,0,,,unknown,unknown,0,restaurants
Dunkin,7,1967,2022,0.226,0,1,1,0,0,0.0261,0.0214,-0.0047,-0.2343,0.2268,-0.0038,no_significant_change,0,2002,0.254,0,,,unknown,unknown,0,restaurants
McDonalds,5,1968,2006,-0.604,1,1,1,0,0,0.0261,0.0161,-0.01,-0.4985,-0.6061,-0.5523,simplified,1,2003,0.2735,0,,,unknown,unknown,0,restaurants
Starbucks,4,1971,2001,0.547,0,1,1,0,0,0.1213,0.0678,-0.0535,-2.6671,0.5489,-1.0591,simplified,1,1987,0.1739,1,,,unknown,unknown,0,restaurants
Subway,11,1968,2016,1.685,0,0,2,2,0,0.0252,0.0196,-0.0056,-0.2792,3.109,1.4149,more_complex,0,2016,0.419,0,,,unknown,unknown,0,restaurants
Taco Bell,6,1962,2023,-0.935,1,3,1,-2,1,0.0226,0.0295,0.0069,0.344,-2.3564,-1.0062,simplified,1,1972,0.5059,1,,,unknown,unknown,0,restaurants
Wendy's,4,1969,2013,0.347,0,1,2,1,0,0.0399,0.0518,0.0119,0.5932,1.0573,0.8253,more_complex,0,1983,0.1323,1,,,unknown,unknown,0,restaurants
7-Eleven,4,1968,2021,0.499,0,2,2,0,0,0.0248,0.0211,-0.0037,-0.3724,0.3736,0.0006,no_significant_change,0,2013,0.0888,0,,,unknown,unknown,0,retail
Best Buy,10,1966,2018,0.705,0,0,1,1,0,0.0528,0.0292,-0.0236,-2.3753,1.1901,-0.5926,simplified,1,1986,0.3382,0,,,unknown,unknown,0,retail
CVS,3,1969,2016,0.46,0,1,1,0,0,0.0224,0.0222,-0.0002,-0.0201,0.3444,0.1621,more_complex,0,2016,0.2778,0,,,unknown,unknown,0,retail
Costco,4,1976,1997,2.15,0,0,2,2,0,0.0236,0.0334,0.0098,0.9863,2.9343,1.9603,more_complex,0,1993,0.3417,1,,,unknown,unknown,0,retail
Home Depot,3,1978,1999,-0.003,1,1,1,0,0,0.0399,0.0344,-0.0055,-0.5536,-0.0022,-0.2779,simplified,1,1989,0.1598,0,,,unknown,unknown,0,retail
IKEA,4,1967,2019,1.974,0,0,2,2,0,0.0243,0.0291,0.0048,0.4831,2.8025,1.6428,more_complex,0,1981,0.3235,0,,,unknown,unknown,0,retail
Lego,3,1964,1998,-0.144,1,3,2,-1,1,0.0465,0.0361,-0.0104,-1.0467,-0.7701,-0.9084,simplified,1,1998,0.0968,1,,,unknown,unknown,0,retail
Target,6,1968,2018,-0.027,1,1,1,0,0,0.0174,0.0231,0.0057,0.5737,-0.0202,0.2767,more_complex,0,1968,0.2308,1,,,unknown,unknown,0,retail
Walgreens,6,1960,2020,1.146,0,0,1,1,0,0.0237,0.0241,0.0004,0.0403,1.5203,0.7803,more_complex,0,1992,0.4162,0,,,unknown,unknown,0,retail
Walmart,7,1970,2025,2.035,0,0,2,2,0,0.0366,0.0212,-0.0154,-1.55,2.8482,0.6491,more_complex,0,2008,0.4659,0,,,unknown,unknown,0,retail
Adobe,4,1990,2020,1.274,0,0,1,1,0,0.0222,0.0222,0.0,0.0,1.33,0.665,more_complex,0,1993,0.3189,1,,,unknown,unknown,0,tech
Google,7,1997,2026,0.117,0,4,4,0,0,0.0241,0.0223,-0.0018,-0.281,0.0924,-0.0943,no_significant_change,0,2015,0.2424,1,,,unknown,unknown,0,tech
Amazon,6,1995,2024,1.074,0,0,1,1,0,0.0223,0.0278,0.0055,0.8586,1.172,1.0153,more_complex,0,1997,0.1943,0,,,unknown,unknown,0,tech
Apple,2,1977,1998,-2.112,1,5,0,-5,1,0.0144,0.0133,-0.0011,-0.1717,-3.2872,-1.7295,simplified,1,1998,0.6937,0,,,unknown,unknown,0,tech
Dell,4,1987,2016,-0.091,1,1,1,0,0,0.0339,0.0235,-0.0104,-1.6236,-0.0719,-0.8477,simplified,1,1989,0.2404,0,,,unknown,unknown,0,tech
HP,6,1979,2016,-0.859,1,2,0,-2,1,0.0312,0.0142,-0.017,-2.6539,-1.3261,-1.99,simplified,1,2016,0.3008,0,,,unknown,unknown,0,tech
Intel,3,1968,2020,-0.153,1,1,1,0,0,0.0253,0.0259,0.0006,0.0937,-0.1208,-0.0136,no_significant_change,0,2020,0.2449,0,,,unknown,unknown,0,tech
Meta,6,2003,2023,0.311,0,1,2,1,0,0.0297,0.0235,-0.0062,-0.9679,0.5695,-0.1992,simplified,1,2023,0.2774,0,,,unknown,unknown,0,tech
Microsoft,3,1987,2012,1.507,0,0,4,4,0,0.0242,0.0228,-0.0014,-0.2186,2.4855,1.1335,more_complex,0,2012,0.477,0,,,unknown,unknown,0,tech
Sony,1,1973,1973,0.0,0,0,0,0,0,0.022,0.022,0.0,0.0,0.0,0.0,no_significant_change,0,,,0,,,unknown,unknown,0,tech
Adidas,6,1967,2022,0.0,0,0,0,0,0,0.0244,0.0192,-0.0052,-0.7018,0.0,-0.3509,simplified,1,2022,0.1885,0,,,unknown,unknown,0,fashion
Asics,3,1977,2003,-0.002,1,1,1,0,0,0.0268,0.0246,-0.0022,-0.2969,-0.0025,-0.1497,no_significant_change,0,2003,0.2364,0,,,unknown,unknown,0,fashion
Levi's,2,1966,1999,-0.055,1,1,1,0,0,0.0256,0.0258,0.0002,0.027,-0.0696,-0.0213,no_significant_change,0,1999,0.1361,0,,,unknown,unknown,0,fashion
Macy's,5,1970,2019,0.522,0,1,1,0,0,0.0242,0.0246,0.0004,0.054,0.6607,0.3573,more_complex,0,2004,0.3973,0,,,unknown,unknown,0,fashion
New Balance,3,1972,2008,0.876,0,0,1,1,0,0.0443,0.0253,-0.019,-2.5641,2.1768,-0.1936,simplified,1,2006,0.1822,1,,,unknown,unknown,0,fashion
Nike,4,1964,1976,0.0,0,0,0,0,0,0.0455,0.0278,-0.0177,-2.3887,0.0,-1.1943,simplified,1,1971,0.1729,0,,,unknown,unknown,0,fashion
Nordstrom,4,1967,2019,-0.115,1,0,0,0,0,0.0163,0.0223,0.006,0.8097,-0.1456,0.3321,more_complex,0,1973,0.2151,0,,,unknown,unknown,0,fashion
Puma,8,1970,2003,0.395,0,0,1,1,0,0.0201,0.0272,0.0071,0.9582,1.568,1.2631,more_complex,0,1976,0.2071,0,,,unknown,unknown,0,fashion
Ray-Ban,1,1946,1946,0.0,0,1,1,0,0,0.0292,0.0292,0.0,0.0,0.0,0.0,no_significant_change,0,,,0,,,unknown,unknown,0,fashion
The North Face,1,1966,1966,0.0,0,0,0,0,0,0.037,0.037,0.0,0.0,0.0,0.0,no_significant_change,0,,,0,,,unknown,unknown,0,fashion
