brand,year,filename,color_count,avg_brightness,palette,coverage,vividness,hue_families,hue_spread,hs_colorfulness,has_gradient_evidence,edge_density,aspect_ratio,viewbox_width,viewbox_height,has_gradient,has_shadow,has_3d,has_text_element,font_type,font_families,change_score,color_delta,sat_delta,edge_delta,industry
Applebees,1980,1980.jpg,5,0.7787,"#df0304,#156564,#da7d7d,#d03639,#f3c3c1",0.974,73.6,2,0.121,182.4,1,0.0504,1.7787,900,506,,,,,unknown,,,,,,restaurants
Applebees,1982,1982.png,2,0.4674,"#ee1c24,#000000",0.669,90.0,1,0.0,155.4,1,0.0491,1.7778,1536,864,,,,,unknown,,0.217,-3,-0.27,-0.0013,restaurants
Applebees,1983,1983.png,4,0.5524,"#01693f,#fbfcfc,#cc2229,#020202",0.628,47.5,2,0.473,104.5,1,0.0538,1.7778,1536,864,,,,,unknown,,0.2412,2,-0.509,0.0047,restaurants
Applebees,1984,1984.png,4,0.5524,"#01693f,#fcfdfd,#010101,#cc2229",0.623,47.7,2,0.474,104.4,1,0.053,1.7778,1536,864,,,,,unknown,,0.0005,0,-0.001,-0.0008,restaurants
Applebees,1985,1985.png,4,0.5515,"#026940,#010101,#fbfcfc,#cc2229",0.657,46.6,2,0.434,104.7,1,0.048,1.6667,1000,600,,,,,unknown,,0.0026,0,0.003,-0.005,restaurants
Applebees,2007,2007.jpg,5,0.6985,"#6a663c,#b40938,#ec3026,#d5d2c1,#9c9a81",0.946,40.8,2,0.212,105.2,1,0.0318,1.7787,900,506,,,,,unknown,,0.0575,1,0.005,-0.0162,restaurants
Applebees,2014,2014.jpg,4,0.5677,"#424041,#b24026,#c8c5c5,#878686",0.352,58.6,1,0.0,80.7,1,0.0249,1.7857,2500,1400,,,,,unknown,,0.1143,-1,-0.245,-0.0069,restaurants
Applebees,2017,2017.jpg,4,0.5667,"#424041,#b24026,#c7c5c4,#878686",0.308,58.6,1,0.0,76.7,1,0.0294,1.7857,2500,1400,,,,,unknown,,0.0098,0,-0.04,0.0045,restaurants
Burger King,1969,1969.png,3,0.9504,"#f39713,#e52821,#fffbec",0.729,79.5,2,0.042,140.8,1,0.0313,1.7786,3840,2159,,,,,unknown,,,,,,restaurants
Burger King,1994,1994.png,2,0.9675,"#ff9a01,#ee1d25",1.0,85.8,2,0.044,140.5,1,0.0292,1.7786,3840,2159,,,,,unknown,,0.0848,-1,-0.003,-0.0021,restaurants
Burger King,1999,1999.jpg,5,0.8892,"#eb1e23,#ffb935,#0265b0,#e77477,#eed7d5",0.985,71.1,3,0.317,194.1,1,0.0339,1.7778,3840,2160,,,,,unknown,,0.2716,3,0.536,0.0047,restaurants
Burger King,2021,2021.jpg,3,0.9315,"#ff8731,#f4eadb,#d62401",0.685,78.2,1,0.009,129.2,1,0.0264,1.6667,4000,2400,,,,,unknown,,0.2578,-2,-0.649,-0.0075,restaurants
Chick-fil-A,1964,1964.png,5,0.6077,"#050405,#fafafa,#ff2124,#b3b2b2,#565556",0.185,90.7,1,0.001,106.0,1,0.0383,1.7778,3840,2160,,,,,unknown,,,,,,restaurants
Chick-fil-A,1975,1975.png,2,0.5038,"#020202,#ff0202",0.122,104.0,1,0.0,102.7,1,0.0324,1.7778,3840,2160,,,,,unknown,,0.159,-3,-0.033,-0.0059,restaurants
Chick-fil-A,1985,1985.png,2,0.5039,"#020202,#ff2439",0.122,89.8,1,0.0,86.0,1,0.0322,1.7778,3840,2160,,,,,unknown,,0.0335,0,-0.167,-0.0002,restaurants
Chick-fil-A,1998,1998.png,1,1.0,#ff393e,1.0,85.2,1,0.0,73.6,1,0.0302,1.7778,3840,2160,,,,,unknown,,0.1506,-1,-0.124,-0.002,restaurants
Chick-fil-A,2012,2012.jpg,4,0.8772,"#dc1e37,#f3d0d5,#ce4e60,#e299a4",0.977,72.4,1,0.002,102.3,1,0.0309,2.3148,1500,648,,,,,unknown,,0.2452,3,0.287,0.0007,restaurants
Chipotle,1993,1993.png,1,0.1377,#231f20,0.0,0.0,0,0.0,1.8,1,0.0371,1.5903,1110,698,,,,,unknown,,,,,,restaurants
Chipotle,2008,2008.png,3,0.606,"#010101,#d30412,#fcfbfb",0.402,84.9,1,0.001,135.8,1,0.0402,1.3333,800,600,,,,,unknown,,0.4484,2,1.34,0.0031,restaurants
Chipotle,2009,2009.jpg,4,0.701,"#c81d0f,#4d0e02,#d87269,#deb5b1",0.976,69.6,1,0.001,105.9,1,0.0319,1.7778,3840,2160,,,,,unknown,,0.1256,1,-0.299,-0.0083,restaurants
Domino's,1969,1969.jpg,6,0.787,"#022696,#de251b,#f9d4d0,#c9d7ef,#c44f48,#3a5094",0.979,71.4,2,0.338,164.4,1,0.0369,1.5,900,600,,,,,unknown,,,,,,restaurants
Domino's,1975,1975.jpg,3,0.979,"#0c11fd,#fc0c12,#f4c8c9",0.991,110.0,2,0.294,244.3,1,0.0415,1.7787,900,506,,,,,unknown,,0.2866,-3,0.799,0.0046,restaurants
Domino's,1996,1996.jpg,5,0.8283,"#dd293a,#047bac,#bbe4ef,#71b2ca,#df828b",0.988,55.5,3,0.459,181.6,1,0.0259,1.7787,900,506,,,,,unknown,,0.2441,2,-0.627,-0.0156,restaurants
Domino's,2012,2012.jpg,4,0.7629,"#03648f,#e21836,#76a8b9,#c1dbe0",0.978,37.0,2,0.438,138.0,1,0.0201,1.8933,2272,1200,,,,,unknown,,0.152,-1,-0.436,-0.0058,restaurants
Dunkin,1967,1967.jpg,3,0.9462,"#ed4799,#f9dcef,#eeaccf",0.989,67.4,1,0.0,76.9,1,0.0261,1.7778,1280,720,,,,,unknown,,,,,,restaurants
Dunkin,1976,1976.png,3,0.9975,"#fd336f,#ff502b,#ffffff",0.933,80.8,1,0.031,123.2,1,0.0303,1.7778,1600,900,,,,,unknown,,0.0943,0,0.463,0.0042,restaurants
Dunkin,1977,1977.png,2,0.9962,"#ff502b,#fd336f",1.0,82.0,1,0.032,105.6,1,0.0322,1.7778,1600,900,,,,,unknown,,0.1193,-1,-0.176,0.0019,restaurants
Dunkin,2002,2002.jpg,6,0.9348,"#e71b99,#f07a29,#f7ddc3,#f8d5ef,#eaa572,#e683c3",0.988,71.7,2,0.173,143.0,1,0.0321,1.7778,1280,720,,,,,unknown,,0.254,4,0.374,-0.0001,restaurants
Dunkin,2007,2007.jpg,5,0.8279,"#f5821f,#e01482,#663717,#f1dec7,#f4c9e5",0.979,69.0,2,0.158,143.9,1,0.0344,1.7778,1280,720,,,,,unknown,,0.0444,-1,0.009,0.0023,restaurants
Dunkin,2019,2019.png,2,0.9785,"#fe6d01,#f50390",1.0,88.1,2,0.013,105.4,1,0.0194,1.7778,3840,2160,,,,,unknown,,0.233,-3,-0.385,-0.015,restaurants
Dunkin,2022,2022.jpg,3,0.9406,"#ef6a02,#ed9d59,#f4d3b3",0.993,80.5,1,0.005,99.5,1,0.0214,1.7778,3840,2160,,,,,unknown,,0.1084,1,-0.059,0.002,restaurants
McDonalds,1968,1968.png,2,0.4954,"#fab318,#020202",0.724,78.7,1,0.0,135.0,1,0.0261,1.7778,3840,2160,,,,,unknown,,,,,,restaurants
McDonalds,1975,1975.png,3,0.942,"#d52b1e,#fdc82f,#fefcfc",0.948,79.3,2,0.05,121.1,1,0.0303,1.7778,3840,2160,,,,,unknown,,0.1253,1,-0.139,0.0042,restaurants
McDonalds,1993,1993.png,2,0.4957,"#fbb30c,#020201",0.714,79.6,1,0.0,142.8,1,0.0231,1.7778,3840,2160,,,,,unknown,,0.1421,-1,0.217,-0.0072,restaurants
McDonalds,2003,2003.png,1,0.9469,#f1bc01,1.0,81.0,1,0.0,69.9,1,0.0163,1.7778,3840,2160,,,,,unknown,,0.2735,-1,-0.729,-0.0068,restaurants
McDonalds,2006,2006.png,1,1.0,#ffc401,1.0,84.1,1,0.0,74.6,1,0.0161,1.7778,3840,2160,,,,,unknown,,0.0095,0,0.047,-0.0002,restaurants
Starbucks,1971,1971.png,4,0.5047,"#371616,#cdc7c7,#978a8a,#685454",0.847,18.1,1,0.0,19.4,1,0.1213,1.0364,455,439,,,,,unknown,,,,,,restaurants
Starbucks,1987,1987.png,3,0.4881,"#fdfdfd,#017655,#020202",0.424,37.6,1,0.001,73.1,1,0.1113,1.0,863,863,,,,,unknown,,0.1739,-1,0.537,-0.01,restaurants
Starbucks,1992,1992.png,3,0.4881,"#077656,#fdfefd,#010101",0.457,37.3,1,0.0,71.2,1,0.1003,1.0,862,862,,,,,unknown,,0.0082,0,-0.019,-0.011,restaurants
Starbucks,2001,2001.png,2,0.7188,"#01704a,#fefefe",0.574,39.0,1,0.0,74.1,1,0.0678,1.0,2000,2000,,,,,unknown,,0.1021,-1,0.029,-0.0325,restaurants
Subway,1968,1968.png,1,0.0,#000000,0.0,0.0,0,0.0,0.0,0,0.0252,1.6667,1000,600,,,,,unknown,,,,,,restaurants
Subway,1970,1970.png,1,0.0,#000000,0.0,0.0,0,0.0,0.0,0,0.036,1.6667,1000,600,,,,,unknown,,0.0043,0,0.0,0.0108,restaurants
Subway,1972,1972.png,1,0.0002,#000000,0.0,0.0,0,0.0,0.0,0,0.0288,1.7778,1600,900,,,,,unknown,,0.0029,0,0.0,-0.0072,restaurants
Subway,1973,1973.png,1,1.0,#ffb403,1.0,82.5,1,0.0,76.5,1,0.0171,1.7778,3840,2160,,,,,unknown,,0.1702,0,0.765,-0.0117,restaurants
Subway,1976,1976.png,2,0.4775,"#000000,#f3cd00",0.201,77.6,1,0.0,98.5,1,0.031,1.7773,3000,1688,,,,,unknown,,0.1746,1,0.22,0.0139,restaurants
Subway,1981,1981.png,4,0.4588,"#010000,#fbd608,#8d6b0d,#4c3305",0.184,68.7,1,0.004,84.1,1,0.0414,1.7778,1600,900,,,,,unknown,,0.158,2,-0.144,0.0104,restaurants
Subway,1984,1984.png,4,0.4639,"#010100,#f9d403,#a88f02,#372e00",0.394,78.4,1,0.0,130.9,1,0.0409,1.7817,800,449,,,,,unknown,,0.0938,0,0.468,-0.0005,restaurants
Subway,1988,1988.png,3,0.656,"#010101,#fefefe,#f7ed1a",0.217,84.2,1,0.0,98.9,1,0.0268,1.7778,3840,2160,,,,,unknown,,0.1321,-1,-0.32,-0.0141,restaurants
Subway,2002,2002.png,3,0.7767,"#fdfefe,#045644,#fef200",0.716,56.4,2,0.141,149.4,1,0.0269,1.7778,3840,2160,,,,,unknown,,0.1135,0,0.505,0.0001,restaurants
Subway,2015,2015.png,1,0.6687,#03ab46,1.0,71.2,1,0.0,59.3,1,0.0211,1.7778,3840,2160,,,,,unknown,,0.3617,-2,-0.901,-0.0058,restaurants
Subway,2016,2016.jpg,4,0.7826,"#018c43,#fdba14,#5ab284,#c7e3d0",0.994,65.9,2,0.167,168.5,1,0.0196,2.2333,7200,3224,,,,,unknown,,0.419,3,1.092,-0.0015,restaurants
Taco Bell,1962,1962.png,5,0.7706,"#f7cf03,#efeff7,#e68d02,#b51a01,#234f4b",0.78,63.8,3,0.144,151.0,1,0.0226,1.7778,3840,2160,,,,,unknown,,,,,,restaurants
Taco Bell,1972,1972.png,1,0.231,#3b2416,0.995,16.6,1,0.0,11.2,1,0.0259,1.7778,3840,2160,,,,,unknown,,0.5059,-4,-1.398,0.0033,restaurants
Taco Bell,1985,1985.png,4,0.8176,"#45030b,#ff1a01,#ffee00,#ff7901",0.985,56.6,3,0.136,145.3,1,0.0295,1.7778,3840,2160,,,,,unknown,,0.4821,3,1.341,0.0036,restaurants
Taco Bell,1994,1994.png,2,0.8105,"#32379f,#fe0190",0.984,71.4,2,0.148,157.9,1,0.0301,1.7778,3840,2160,,,,,unknown,,0.1629,-2,0.126,0.0006,restaurants
Taco Bell,2016,2016.jpg,4,0.533,"#010101,#682a8f,#9e7fb9,#d4d0d6",0.508,55.7,1,0.0,56.0,1,0.0336,1.2887,4500,3492,,,,,unknown,,0.3427,2,-1.019,0.0035,restaurants
Taco Bell,2023,2023.png,3,0.432,"#000000,#682a90,#9f7fbb",0.518,57.5,1,0.0,57.5,1,0.0295,1.6,8000,5000,,,,,unknown,,0.0671,-1,0.015,-0.0041,restaurants
Wendy's,1969,1969.jpg,7,0.6317,"#1c1c1c,#e83840,#d4cccb,#8b8c8c,#545555,#cb565c,#e4a1a4",0.402,64.1,1,0.027,107.1,1,0.0399,1.7787,900,506,,,,,unknown,,,,,,restaurants
Wendy's,1983,1983.jpg,7,0.667,"#ea1b24,#060404,#faf60a,#484b4b,#ec9da1,#b1b2b3,#d44149",0.75,79.1,2,0.134,163.1,1,0.0595,1.7787,900,506,,,,,unknown,,0.1323,0,0.56,0.0196,restaurants
Wendy's,2007,2007.jpg,6,0.6386,"#cb042e,#0a0607,#dfd2d4,#656667,#cf4961,#e7a1a9",0.76,65.6,1,0.016,131.2,1,0.0535,1.7787,900,506,,,,,unknown,,0.1144,-1,-0.319,-0.006,restaurants
Wendy's,2013,2013.jpg,5,0.7072,"#dc1438,#f8d1d5,#9c0b2c,#2e1d16,#26ace7",0.895,67.7,2,0.044,141.8,1,0.0518,1.2009,4167,3470,,,,,unknown,,0.076,-1,0.106,-0.0017,restaurants
7-Eleven,1968,1968.png,4,0.8761,"#028160,#fefefe,#ff142b,#ff8301",0.619,52.6,2,0.532,136.4,1,0.0248,1.7778,3840,2160,,,,,unknown,,,,,,retail
7-Eleven,1989,1989.png,4,0.876,"#fefefe,#01815c,#ff1528,#ff8401",0.606,56.3,2,0.511,139.3,1,0.0268,1.7778,3840,2160,,,,,unknown,,0.0066,0,0.029,0.002,retail
7-Eleven,2013,2013.png,4,0.9205,"#00b030,#fe1e2a,#ff5e15,#fcfefd",0.952,83.0,2,0.218,182.4,1,0.0202,1.7778,3840,2160,,,,,unknown,,0.0888,0,0.431,-0.0066,retail
7-Eleven,2021,2021.jpg,4,0.7804,"#eb0f29,#ff6d01,#157352,#95bfb0",0.992,74.9,2,0.172,186.3,1,0.0211,1.7778,3840,2160,,,,,unknown,,0.0082,0,0.039,0.0009,retail
Best Buy,1966,1966.png,5,0.4915,"#f7f7f7,#080808,#7a7a7a,#3d3d3d,#bcbcbc",0.0,0.0,0,0.0,0.0,1,0.0528,1.6667,1000,600,,,,,unknown,,,,,,retail
Best Buy,1972,1972.png,1,0.0,#000000,0.0,0.0,0,0.0,0.0,0,0.0424,1.7778,3840,2160,,,,,unknown,,0.2042,-4,0.0,-0.0104,retail
Best Buy,1978,1978.png,3,0.2478,"#090909,#777777,#3d3d3d",0.0,0.0,0,0.0,0.0,1,0.0509,1.6667,1000,600,,,,,unknown,,0.1701,2,0.0,0.0085,retail
Best Buy,1980,1980.png,3,0.5222,"#010100,#fbef21,#938c13",0.504,83.9,1,0.0,133.2,1,0.0422,1.7778,3840,2160,,,,,unknown,,0.2824,0,1.332,-0.0087,retail
Best Buy,1984,1984.png,4,0.4902,"#010100,#fbee21,#4f4a0a,#aaa116",0.43,83.1,1,0.0,126.6,1,0.0394,1.7778,3840,2160,,,,,unknown,,0.0768,1,-0.066,-0.0028,retail
Best Buy,1986,1986.png,3,0.438,"#252525,#d5d5d5,#555555",0.0,0.0,0,0.0,0.0,1,0.0289,1.6667,1000,600,,,,,unknown,,0.3324,-1,-1.266,-0.0105,retail
Best Buy,1986,1986b.png,2,0.486,"#000000,#f80000",0.18,101.7,1,0.0,121.0,1,0.0279,1.7778,1600,900,,,,,unknown,,0.3382,-1,1.21,-0.001,retail
Best Buy,1988,1988.png,6,0.6153,"#f4e31c,#121010,#d92207,#d7b11a,#423d30,#b58818",0.612,78.2,2,0.042,136.8,1,0.0667,1.7778,1600,900,,,,,unknown,,0.2263,4,0.158,0.0388,retail
Best Buy,1989,1989.png,2,0.4909,"#faec00,#010100",0.58,89.2,1,0.0,160.0,1,0.0376,1.7778,3840,2160,,,,,unknown,,0.2372,-4,0.232,-0.0291,retail
Best Buy,2018,2018.jpg,4,0.601,"#1c252c,#ffed31,#cacccd,#646a6d",0.118,82.9,1,0.0,70.5,1,0.0292,1.7778,1600,900,,,,,unknown,,0.3074,2,-0.895,-0.0084,retail
CVS,1969,1969.png,1,0.9106,#e81f3c,1.0,81.6,1,0.0,65.3,1,0.0224,1.7778,800,450,,,,,unknown,,,,,,retail
CVS,1996,1996.png,1,0.9102,#e82b3f,1.0,79.1,1,0.0,66.2,1,0.022,1.7771,1100,619,,,,,unknown,,0.002,0,0.009,-0.0004,retail
CVS,2016,2016.jpg,4,0.8765,"#cc0203,#f3cfcf,#d84b4b,#e79494",0.978,81.7,1,0.002,111.3,1,0.0222,1.7778,9200,5175,,,,,unknown,,0.2778,3,0.451,0.0002,retail
Costco,1976,1976.png,1,0.0,#000000,0.0,0.0,0,0.0,0.0,0,0.0236,2.0,1000,500,,,,,unknown,,,,,,retail
Costco,1983,1983.png,1,0.8856,#e22525,1.0,84.3,1,0.0,66.3,1,0.0209,1.7778,3840,2160,,,,,unknown,,0.1462,0,0.663,-0.0027,retail
Costco,1993,1993.png,3,0.7909,"#e21e36,#50719f,#dc5561",1.0,71.5,2,0.09,147.0,1,0.0238,1.7778,3840,2160,,,,,unknown,,0.3417,2,0.807,0.0029,retail
Costco,1997,1997.jpg,4,0.8478,"#ff1135,#015cac,#5993c2,#f4b8c3",0.988,76.7,2,0.239,215.0,1,0.0334,1.7778,3840,2160,,,,,unknown,,0.2023,1,0.68,0.0096,retail
Home Depot,1978,1978.png,3,0.9886,"#fef5de,#fd7162,#faab9a",0.746,51.4,1,0.018,100.6,1,0.0399,1.5,1200,800,,,,,unknown,,,,,,retail
Home Depot,1989,1989.png,2,1.0,"#ff4b3c,#fffefe",0.626,80.1,1,0.0,138.1,1,0.0363,1.7778,3840,2160,,,,,unknown,,0.1598,-1,0.375,-0.0036,retail
Home Depot,1999,1999.jpg,3,0.9629,"#f96303,#f19e63,#f6ddc6",0.993,85.1,1,0.0,100.3,1,0.0344,1.7778,3840,2160,,,,,unknown,,0.1597,1,-0.378,-0.0019,retail
IKEA,1967,1967.png,2,0.5243,"#fefefe,#07080d",0.0,0.0,0,0.0,3.6,1,0.0243,1.7778,3840,2160,,,,,unknown,,,,,,retail
IKEA,1981,1981.png,2,0.9611,"#ffffff,#eb1209",0.502,93.9,1,0.0,158.9,1,0.0252,1.7778,3840,2160,,,,,unknown,,0.3235,0,1.553,0.0009,retail
IKEA,1982,1982.png,2,0.7507,"#ffcc00,#003380",0.997,67.9,2,0.665,191.7,1,0.0255,1.7778,3840,2160,,,,,unknown,,0.0782,0,0.328,0.0003,retail
IKEA,2019,2019.jpg,2,0.8184,"#0157a4,#fedc01",1.0,65.7,2,0.773,201.0,1,0.0291,2.0879,2923,1400,,,,,unknown,,0.02,0,0.093,0.0036,retail
Lego,1964,1964.png,5,0.7187,"#f4342a,#010101,#fefefe,#f7ee1d,#2b46aa",0.657,83.2,3,0.211,160.1,1,0.0465,1.7778,3840,2160,,,,,unknown,,,,,,retail
Lego,1972,1972.png,4,0.7316,"#ed1c24,#fefefe,#020101,#fdf300",0.717,89.0,2,0.051,162.7,1,0.0354,1.7778,3840,2160,,,,,unknown,,0.0721,-1,0.026,-0.0111,retail
